iter	Passed	Remaining
399	40481	263131
400	40581	263020
401	40694	262998
402	40784	262822
403	40879	262682
404	40975	262546
405	41065	262373
406	41159	262225
407	41253	262079
408	41344	261913
409	41459	261900
410	41554	261760
411	41647	261613
412	41774	261670
413	41863	261495
414	41952	261321
415	42050	261199
416	42129	260961
417	42227	260840
418	42338	260803
419	42451	260774
420	42530	260534
421	42656	260591
422	42759	260502
423	42861	260404
424	42958	260275
425	43051	260126
426	43148	260004
427	43229	259783
428	43321	259628
429	43401	259396
430	43481	259171
431	43575	259030
432	43671	258899
433	43763	258750
434	43842	258519
435	43932	258356
436	44044	258318
437	44157	258291
438	44269	258253
439	44348	258027
440	44444	257896
441	44534	257736
442	44626	257587
443	44718	257431
444	44844	257477
445	44939	257344
446	45040	257243
447	45134	257102
448	45230	256976
449	45321	256822
450	45428	256758
451	45536	256694
452	45614	256469
453	45726	256430
454	45818	256281
455	45927	256225
456	46021	256089
457	46120	255976
458	46215	255845
459	46327	255809
460	46424	255685
461	46533	255633
462	46615	255427
463	46709	255291
464	46820	255244
465	46909	255085
466	47004	254954
467	47099	254819
468	47178	254600
469	47272	254465
470	47384	254424
471	47491	254361
472	47570	254143
473	47648	253921
474	47761	253892
475	47851	253733
476	47945	253599
477	48053	253537
478	48154	253438
479	48268	253408
480	48348	253201
481	48443	253074
482	48543	252970
483	48623	252759
484	48730	252697
485	48811	252493
486	48890	252281
487	48983	252143
488	49063	251938
489	49144	251740
490	49225	251542
491	49346	251547
492	49461	251519
493	49550	251364
494	49665	251337
495	49763	251222
496	49878	251198
497	49958	250997
498	50067	250937
499	50185	250926
500	50301	250906
501	50398	250788
502	50514	250765
503	50643	250803
504	50721	250595
505	50801	250393
506	50891	250242
507	50986	250114
508	51066	249916
509	51158	249775
510	51251	249637
511	51341	249489
512	51461	249484
513	51555	249351
514	51674	249341
515	51767	249208
516	51846	249004
517	51957	248952
518	52038	248760
519	52118	248563
520	52235	248544
521	52317	248356
522	52399	248172
523	52479	247976
524	52576	247861
525	52658	247673
526	52739	247484
527	52834	247360
528	52932	247253
529	53027	247127
530	53109	246944
531	53192	246767
532	53309	246745
533	53432	246750
534	53527	246627
535	53663	246689
536	53760	246577
537	53856	246456
538	53951	246335
539	54033	246150
540	54127	246025
541	54223	245907
542	54315	245768
543	54441	245785
544	54535	245658
545	54630	245538
546	54722	245400
547	54847	245414
548	54932	245245
549	55062	245278
550	55143	245095
551	55258	245057
552	55370	245012
553	55466	244891
554	55561	244772
555	55642	244584
556	55725	244410
557	55805	244225
558	55888	244048
559	55982	243925
560	56077	243802
561	56191	243761
562	56273	243585
563	56395	243581
564	56490	243460
565	56580	243314
566	56657	243117
567	56769	243067
568	56892	243070
569	56973	242886
570	57071	242779
571	57167	242661
572	57285	242640
573	57410	242643
574	57525	242606
575	57640	242568
576	57737	242456
577	57857	242438
578	57975	242413
579	58069	242290
580	58189	242271
581	58307	242244
582	58388	242065
583	58501	242018
